name,portion,calories
"Battered fried chicken breast, no skin",1 small breast,215.28
"Battered fried chicken breast, no skin",4 ounces after cooking,265.356
BBQ short ribs with sauce,1 medium rib,107.61
BBQ short ribs with sauce,1 large rib,147.7
BBQ short ribs with sauce,1 small rib,46.42
BBQ spareribs & sauce (eat lean & fat),1 medium rib,124
BBQ spareribs & sauce (eat lean & fat),1 large rib,161.2
BBQ spareribs & sauce (eat lean & fat),1 small rib,89.9
BBQ spareribs & sauce (eat lean only),1 medium rib,66.3
BBQ spareribs & sauce (eat lean only),1 large rib,83.98
BBQ spareribs & sauce (eat lean only),1 small rib,46.41
Bean and cheese burrito,1 Taco Bell burrito,518.76
Bean and cheese burrito,1 medium burrito,372.04
Bean burrito,1 medium burrito,295.36
Bean enchilada,1 enchilada,179.36
"Bean salad (green, yellow, kidney beans)",.5 cup,57
Bean soup,1 cup,136.62
Bean soup with ham,1 cup,221.13
Bean soup with macaroni,1 cup,154.33
"Bean taco (cheese, lettuce, tomato, salsa)",1 taco or tostada,143.44
Beef and bean burrito,1 medium burrito,330.86
Beef and bean nachos,1 Nachos Supreme,566.28
Beef and bean nachos,1 cup,251.68
Beef and cheese burrito (no beans),1 Taco Bell burrito,689.04
Beef and cheese burrito (no beans),1 medium burrito,494.16
Beef and cheese enchilada,1 enchilada,213.15
Beef brisket,"1 medium slice, 1/4 "" thick",96.6
Beef brisket,1 thick slice,144.9
Beef brisket,1 thin slice,48.3
Beef brisket,4 ounces after cooking,211.6
Beef broth or consomme,1 cup,16.8
Beef burrito (no beans),1 small burrito,296.64
Beef chimachanga,1 chimichanga,337.48
Beef curry,.5 cup,215.94
Beef fajitas with veggies,1 fajita,396.94
Beef gravy,.25 cup,30.8725
Beef jerky,1 piece (Slim Jim),39.36
Beef jerky,".25 cup, pieces",92.25
Beef sirloin frozen meal,1 regular meal,274.56
Beef sloppy joe (no bun),.5 cup,185.74
Beef soft taco,1 taco,262.2
"Beef stew, potatoes & vegetables",1 cup,199.08
Beef stroganoff with noodles,1 cup,343.04
"Beef taco (cheese, lettuce, tomato, salsa)",1 taco or tostada,172.64
"Beef taco (cheese, lettuce, tomato, salsa)",1 Taco Bell Grande,339.04
Beef taco with cheese and lettuce,1 taco or tostada,219.96
Beef with BBQ sauce,.5 cup,228.81
Beef with BBQ sauce,1 slice with sauce,100.92
"Beef, bean, and cheese burrito",1 Taco Bell burrito,670.65
"Beef, bean, and cheese burrito",1 medium burrito,615.42
"Beef, bean, and cheese burrito",1 Taco Bell Big Beef,765.33
"Beef, tomato sauce & noodles",1 cup,276.39
"Beef, veggies & noodles (tomato sauce)",1 cup,231.57
Beer or ale,1 can,147.6
Beer or ale,.5 small pitcher,196.8
Biscotti,1 biscotti,144.96
Black olives,5 small,17.85
Black olives,.25 cup,38.5875
Black olives,5 large,24.15
Blackeye peas,.5 cup,79.2
Bloody Mary,1 cocktail,114.54
Bloody Mary,8 fluid ounces (no ice),199.2
Blue cheese dressing,1 Tablespoon,77.112
Blueberries (raw),.5 cup,41.325
Blueberry or banana muffin,"1 medium (2 3/4"" across)",313.01
Blueberry or banana muffin,"1 large (3 1/4"" across)",426.58
Blueberry or banana muffin,"1 miniature (1 1/4"" across)",52.63
Blueberry or banana muffin,"1 small (2 1/2"" across)",182.82
Blueberry pancakes,"2 medium (5"" across)",152
Blueberry pancakes,"2 small (3"" across)",49.4
Blueberry pancakes,"2 large (7"" across)",304
Boiled or steamed okra,.5 cup,17.6
Boiled or steamed okra,5 pods,11.66
Boiled potatoes,8 ounces raw,156.4
Boiled potatoes,"1 medium (2 per pound, raw)",141.95
Boiled potatoes,"1 large (13 ounces, raw)",156.4
Boiled potatoes,"1 small (6 ounces, raw)",106.25
Bologna,1 medium slice,85.96
Bran flakes cereal,1 cup,144
Bran muffin,"1 medium (2 3/4"" across)",333.35
Bran muffin,"1 large (3 1/4"" across)",454.3
Bran muffin,"1 miniature (1 1/4"" across)",56.05
Bran muffin,"1 small (2 1/2"" across)",194.7
"Bran, multigrain, or wheat waffle","1 round (4"" across)",115.05
"Bran, multigrain, or wheat waffle","1 large round (7"" across)",221.25
"Bran, multigrain, or wheat waffle","1 square (4"" square)",109.15
Brandy or cognac,2 fluid ounces,128.436
Bratwurst,1 brat,281.35
Brazil nuts,.25 cup,229.6
Bread stick,1 medium,41.2
Bread stick,1 large,82.4
Bread stick,1 small,20.6
Bread stick,1 snack size,8.24
Bread stuffing,".5 cup, moist type",176
Bread stuffing,".5 cup, dry mix, prepared",200.64
Breaded fried mushrooms,.5 cup,148.07
Breaded fried mushrooms,1 medium,30.94
Breaded fried mushrooms,1 small,17.68
Breaded fried steak (eat lean & fat),1 medium steak,801.9
Breaded fried steak (eat lean & fat),1 large steak,1069.2
Breaded fried steak (eat lean & fat),1 small steak,600.6
Breaded fried steak (eat lean & fat),"4 ounces cooked, no bone",374.22
Breaded fried steak (eat lean only),1 medium steak,515.22
Breaded fried steak (eat lean only),1 large steak,686.96
Breaded fried steak (eat lean only),1 small steak,387.8
Breaded fried steak (eat lean only),"4 ounces cooked, no bone",299.16
Breaded fried summer squash,.5 cup,184.8
Breaded fried vegetable sticks,1 stick,28.7
Breaded pork chop (eat lean & fat),1 medium,304.32
Breaded pork chop (eat lean & fat),1 large,440.63
Breaded pork chop (eat lean & fat),1 small or thin cut,164.84
Breaded pork chop (eat lean & fat),4 ounces after cooking,359.478
Breaded pork chop (eat lean only),1 medium,226.4
Breaded pork chop (eat lean only),1 large,331.11
Breaded pork chop (eat lean only),1 small or thin cut,124.52
Breaded pork chop (eat lean only),4 ounces after cooking,339.6
Breakfast bar,1 bar,139.49
Breakfast sausage (brown & serve),1 patty,106.92
Breakfast sausage (brown & serve),1 link,51.48
Broccoli cheese soup,1 cup,164.91
Broccoli with cheese sauce,.5 cup,120.84
Broccoli with cheese sauce,1 stalk,50.88
Broccoli-rice casserole,.5 cup,143.64
Broiled veal chop,1 medium,230.05
Broiled veal chop,1 large,292.4
Broiled veal chop,4 ounces after cooking,197.8
"Brown rice, no fat added",".5 cup, cooked",107.25
Brown sugar,"1 teaspoon, packed",17.342
Brownie with icing,"1 brownie (2"" square)",170.1
Brownie with icing,1 Little Debbie package,247.05
"Brownie, no icing","1 brownie (2"" square)",128.86
"Brownie, no icing",1 Brownie Bites bag,234.98
Buffalo wing (chicken wing & sauce),"1 wing ""drumette"" with sauce",73.44
"Bulgur, no fat added",".5 cup, cooked",56
Butter,1 pat (1 teaspoon),35.85
Butter,.25 stick,202.5525
Butter,1 Tablespoon,101.814
Buttered popcorn,"1 bag, popped",458.48
Buttered popcorn,"1 cup, popped",72.94
Butterfinger candy bar,1 bar (2.2 oz),290.36
Butterfinger candy bar,.25 cup Butterfinger BB's,207.06
Butterfinger candy bar,1 king size bar (4 oz),514.08
Butterfinger candy bar,1 fun size bar (0.6 oz),99.96
Buttermilk,1 cup,98
Buttermilk,8 fluid ounces,97.92
Buttermilk biscuit,1 medium,185.64
Buttermilk biscuit,1 large,280.28
Buttermilk biscuit,1 small,127.4
Butterscotch sauce,1 Tablespoon,62.964
Butterscotch sauce,.25 cup,252.45
Caesar salad with dressing,1 cup,168.48
Cake doughnut,"1 medium (3-1/4"" across)",197.87
Cake doughnut,"1 large (3-5/8"" across)",244.18
Cake doughnut,"1 twist (4-1/2"" long)",218.92
Cake doughnut,1 doughnut hole,58.94
Cake doughnut,"1 small (2-1/2"" across)",105.25
"Cake doughnut, frosted","1 medium(3-1/4"" across)",251.22
"Cake doughnut, frosted","1 large (3-5/8"" across)",327.06
"Cake doughnut, frosted",1 doughnut hole,94.8
"Cake doughnut, frosted","1 small (2-1/2"" across)",170.64
Calorie-free sweetener,1 individual packet,1.408
Calorie-free sweetener,1 teaspoon,7.04
Canadian bacon,1 slice,42.55
Canadian bacon,1 ounce,51.8
Candied sweet potato,.5 cup,146.02
Canned tuna (in oil),".5 can, drained",158.4
Canned tuna (in oil),2 ounces,112.266
Canned tuna (in water),".5 can, drained",96.86
Canned tuna (in water),2 ounces,65.772
Cantaloupe,".5 cup, balls",30.09
Cantaloupe,1 large wedge,34.68
Cantaloupe,1 medium wedge,23.46
Cantaloupe,1 small wedge,18.7
Cap'n Crunch cereal,1 cup,144.36
Cappuccino,1 medium (17 fl oz order),160.38
Cappuccino,1 large (20 fl oz order),190.74
Cappuccino,1 mug (8 fl oz order),79.2
Cappuccino,1 small (13 fl oz order),120.45
Caramel candy,1 piece,26.74
Caramel candy,1 sucker (2 oz),225.38
Caramel corn,1 cup,150.85
Caramel corn,1 popcorn ball,215.5
Carrot cake with icing,"1 piece, 1-layer cake",326.4
Carrot cake with icing,"1 piece, 2-layer cake",542.64
Carrot cake with icing,1 cupcake,244.8
Carrot juice,1 cup,94.4
Carrot salad,.5 cup,208.25
Cashews,1 ounce (18 cashews),164.7135
Cashews,.25 cup,188.825
Cassava,1 piece,32.2
Cassava,".5 cup, diced",106.26
Cassava bread,"1 piece (6"" across)",299
Cassava with creole sauce,1 portion,308.2
Cheerios,1 cup,110.7
Cheerios,1 single serving box,77.49
"Cheese (cheddar, Swiss)",.25 cup shredded,113.8475
"Cheese (cheddar, Swiss)",1 cubic inch,68.51
"Cheese (cheddar, Swiss)",1 slice (slice = 1 oz),114.2505
Cheese blintz,1 blintz,134.4
Cheese bread,1 slice,70.98
Cheese cracker,.25 cup bit-size crackers,66.6475
Cheese cracker,1 single serving bag,140.84
Cheese Danish pastry,"1 medium (5"" across)",418.88
Cheese Danish pastry,"1 large (7"" across)",632.06
Cheese Danish pastry,"1 small (3"" across)",205.7
Cheese enchilada,1 enchilada,226.44
Cheese manicotti with tomato sauce,2 manicotti,457.6
Cheese manicotti with tomato sauce,1 cup,376
Cheese nachos,1 Taco Bell order,471.7
Cheese nachos,1 cup,258.1
"Cheese pizza, thick crust",1 slice (1/8 med pizza),203.06
"Cheese pizza, thick crust",.25 large pizza,634.205
"Cheese pizza, thick crust",.25 medium pizza,405.405
"Cheese pizza, thick crust",.5 French bread pizza,210.21
"Cheese pizza, thick crust",1 Bagel Bite,62.92
"Cheese pizza, thick crust",1 big slice (1/8 lg pizza),317.1025
"Cheese pizza, thick crust","1 small pizza (8"" across)",709.28
"Cheese pizza, thin crust",1 slice (1/8 med pizza),163.8
"Cheese pizza, thin crust",.25 large pizza,510.9
"Cheese pizza, thin crust",.25 medium pizza,326.95
"Cheese pizza, thin crust",1 big slice (1/8 lg pizza),255.45
"Cheese pizza, thin crust","1 small pizza (8"" across)",478.4
Cheese quesadilla,1 quesadilla,498.42
Cheese ravioli (no sauce),.5 cup,185.2
Cheese ravioli (no sauce),1 piece,34.725
Cheese sandwich cracker,1 sandwich,33.39
Cheese sauce,.25 cup,109.35
"Cheese sauce, low fat",.25 cup,79.5825
Cheese spread or dip,1 slice Velveeta,100.24333
Cheese spread or dip,4 Tablespoons,176.9
Cheese tortellini with cream sauce,1 cup,390
Cheese tortellini with tomato sauce,1 cup,332.5
"Cheese tortellini, no sauce",1 cup,354
"Cheese tortellini, no sauce",10 tortellini,113.28
"Cheeseburger, plain on bun",1 cheeseburger,316.72
Cheesecake,1 piece,409.6
Cheesecake,1 single serving cake,182.4
"Chef salad, no dressing",1 cup,71.44
"Chef salad, no dressing",1 fast food order,253.8
Chewing gum (made with sugar),1 piece,9.88
Chewing gum (made with sugar),.25 6-foot long tape,37.05
Chewing gum (made with sugar),1 gum ball,4.94
Chewing gum (sugar-free),1 piece,5.36
"Chex cereal (corn, wheat, or bran)",1 cup,143.13
Chicken & cheese quesadilla,1 quesadilla,563.04
Chicken and dumplings,.5 cup,184.22
Chicken and rice with cream sauce,.5 cup,177.32
Chicken and rice with tomato sauce,.5 cup,113.46
Chicken cacciatore,1 breast with sauce,382
Chicken cacciatore,.5 cup,233.02
Chicken cacciatore,1 thigh with sauce,238.75
Chicken chimichanga,1 chimichanga,558.15
Chicken chimichanga,1 order (4 mini pieces),631.35
Chicken chow mein with noodles,1 cup,275
Chicken cordon bleu,"1 roll (breast,ham, sauce)",501.51
Chicken curry,1 breast with sauce,248
Chicken curry,.5 cup,146.32
Chicken curry,1 thigh with sauce,155
Chicken enchilada,1 enchilada,202.86
Chicken fajitas with veggies & guacamole,1 fajita,361.26
Chicken fajitas with veggies & guacamole,1 McDonald's fajita,132.84
Chicken fettuccine diet frozen meal,1 regular meal,265.1
Chicken gravy,.25 cup,47.005
Chicken gumbo soup,1 cup,56.12
Chicken liver pate,1 slice,56.9835
Chicken nachos,1 order,543.32
Chicken nachos,1 cup,251.43
Chicken noodle soup,1 cup,74.71
Chicken nuggets,1 fast food order-6 nuggets,216.72
Chicken nuggets,1 nugget,54.18
Chicken or pork fried rice,.5 cup,166.32
Chicken or turkey pot pie,"1 8-ounce pie (4-5"" across)",488.05
Chicken or turkey pot pie,1 cup,541.8
Chicken or turkey pot pie,1 16-ounce pie (Hungry Man),976.1
Chicken Parmigiana,"1 patty, sauce and cheese",323.96
Chicken Parmigiana,"1 breast, sauce and cheese",283.02
Chicken Parmigiana,1 thigh with sauce,188.68
Chicken patty or fillet (breaded),1 patty,225.72
Chicken patty or fillet (breaded),1 fillet,299.97
Chicken patty or fillet (breaded),1 medium tender,47.52
Chicken patty or fillet (breaded),1 chicken strip,261.36
Chicken rice soup,1 cup,60.25
"Chicken salad (with celery, mayo)",.5 cup,208.39
Chicken salad spread,.5 cup,208
Chicken sandwich with mayo,1 sandwich,265.44
Chicken sandwich with mayo,"1 6"" sub",559.32
Chicken soft taco,1 taco,250.88
Chicken teriyaki,1 breast with sauce,190.72
Chicken teriyaki,.5 cup,181.78
Chicken teriyaki,1 thigh with sauce,113.24
Chicken Teriyaki frozen meal,1 regular meal,360.68
Chicken vegetable soup,1 cup,136.23
Chicken with BBQ sauce,1 breast with sauce,233.7
Chicken with BBQ sauce,.5 cup,249.85
Chicken with BBQ sauce,1 thigh with sauce,140.6
Chicken with rice diet frozen meal,1 regular meal,272.33
"Chicken, veggies & noodles (cream sauce)",1 cup,250.88
Chickpeas,.5 cup,147.6
Chiles rellenos,1 chili,364.65
Chili con carne (with beans),.5 cup,132.08
Chives,1 Tablespoon,0.9
Chocolate cake with icing,"1 piece, 1-layer cake",245.52
Chocolate cake with icing,"1 piece, 2-layer cake",405.48
Chocolate chip cookie,"1 medium (2"" across)",48.1
Chocolate chip cookie,.25 cup of bite size cookies,97.4025
Chocolate chip cookie,"1 ""big"" cookie (4"" across)",192.4
Chocolate chip cookie,1 large,67.34
Chocolate chip muffin,"1 medium (2 3/4"" across)",363.86
Chocolate chip muffin,"1 large (3 1/4"" across)",495.88
Chocolate chip muffin,"1 miniature (1 1/4"" across)",61.18
Chocolate chip muffin,"1 small (2 1/2"" across)",212.52
Chocolate chips,.25 cup,201.18
Chocolate chips,20 morsels,47.9
Chocolate cream pie,"1 piece (1/8 of 9"" pie)",380.16
Chocolate cupcake with icing/filling,1 medium cupcake (1.4 oz),150.4
Chocolate cupcake with icing/filling,1 small cupcake (0.9 oz),94
Chocolate cupcake with icing/filling,1 large cupcake (2.3 oz),240.64
Chocolate cupcake with icing/filling,1 Ho Ho,105.28
Chocolate cupcake with icing/filling,1 Ding Dong,142.88
Chocolate flavored drink,1 bottle (9 fl oz),128.78
Chocolate flavored drink,1 drink box,114.68
Chocolate fudge cookie,"1 medium (2"" across)",56.29
Chocolate fudge cookie,"1 ""big"" cookie (4"" across)",108.25
Chocolate fudge cookie,1 bite size,9.526
Chocolate icing,1 Tablespoon,67.252
Chocolate icing,.25 cup,268.8125
"Chocolate milk, 1% (low fat)",1 cup (1 school carton),157.5
"Chocolate milk, 2% (reduced fat)",1 cup (1 school carton),175
"Chocolate milk, fat free (skim)",1 cup (1 school carton),140
"Chocolate milk, whole milk",1 cup (1 school carton),207.5
"Chocolate raised doughnut, frosted","1 medium (3"" across)",274.77
"Chocolate raised doughnut, frosted",1 doughnut hole,89.01
"Chocolate raised doughnut, frosted","1 large (4"" across)",394.74
Chocolate sauce (thin type),1 Tablespoon,52.452
Chocolate sauce (thin type),.25 cup,209.25
Chocolate wafer cookie,"1 medium (1-3/4"" across)",51.96
Chocolate wafer cookie,".25 cup, Teddy Grahams",76.8575
Chocolate wafer cookie,1 small or thin,25.98
Cooked turnip,.5 cup pieces,17.05
Chocolate-covered almonds,1 almond,17.01
Chocolate-covered almonds,.25 cup,240.975
Chocolate-covered candy,1 butter cream,73.2
Chocolate-covered candy,1 cherry,51.24
Chocolate-covered candy,1 Cadbury egg (1 oz),106.14
Chocolate-covered candy,1 large York pattie,153.72
Chocolate-covered candy,1 piece (0.6 oz),62.22
Chocolate-covered candy,1 small York pattie,51.972
Chocolate-covered granola bar,1 Kudos bar,171.36
Chocolate-covered granola bar,1 Quaker Oats bar,133.28
Chocolate-covered granola bar,1 Sweet Success bar,157.08
Chopped chicken liver,.25 cup,117.52
Chow fun rice noodles,"1 cup, cooked",171.2
Chunky beef vegetable soup,1 cup,170.4
Cilantro,.25 cup,0.92
Cilantro,1 sprig,0.253
Cinnamon bread or toast,1 slice,69.16
Cinnamon Toast Crunch cereal,1 cup,160.36
Cinnamon Toast Crunch cereal,1 single serving box,139.26
"Club sandwich (chicken, bacon, tomato)",1 sandwich,546.12
"Club sandwich (chicken, bacon, tomato)","1 6"" sub",548.34
Cocktail sauce,4 Tablespoons,54.6
Cocoa Puffs cereal,1 cup,117
"Coconut candy, chocolate-covered",1 bar (1.75 oz),243
"Coconut candy, chocolate-covered",1 fun size bar,97.2
"Coconut candy, chocolate-covered",1 small egg (1 oz),136.08
Coconut milk,.25 cup,138
Coffee,1 fast food (16 fl oz order),14.2
Coffee,1 coffee cup (cup = 6 fl oz),7.08
Coffee,1 mug ( mug = 8 fl oz),9.48
Coffee cake,"1 piece (1/12 of a 9"" sq)",159.8
Coffee cake,"1 piece (1/8 of 8"" cake)",139.4
Coffee Mate (liquid),2 Tablespoons (1 fl oz),40.8
Coffee Mate (powder),1 packet,16.38
Coffee Mate Lite  (powder),1 packet,12.93
Coffee Mate Lite (liquid),2 Tablespoons (1 fl oz),20.7
Coleslaw,.5 cup,134.32
Coleslaw,1 fast-food order,131.4
Cooked asparagus,5 medium spears,16.5
Cooked asparagus,.5 cup,19.8
Cooked asparagus,5 small or thin spears,12.1
Cooked asparagus,5 large or thick spears,20.9
Cooked barley,.5 cup,98.82
Cooked bean sprouts,.5 cup,29.14
Cooked beets,.5 cup slices,37.4
Cooked beets,.5 cup diced,34.54
Cooked beets,.5 cup whole,35.86
Cooked broccoli,.5 cup flowerets,16.975
Cooked broccoli,.5 cup chopped,32.2
Cooked broccoli,1 floweret,3.5
Cooked Brussels sprouts,.5 cup,32.55
Cooked Brussels sprouts,1 sprout,8.82
Cooked cabbage,.5 cup,16.5
Cooked carrots,.5 cup slices,27.3
Cooked carrots,.5 cup baby carrots,26.075
Cooked cauliflower,.5 cup flowerets,16.56
Cooked cauliflower,.5 cup pieces,14.375
Cooked cauliflower,1 floweret,5.06
Cooked eggplant,".5 cup, diced",35
Cooked eggplant,1 slice,18.9
Cooked green beans,.5 cup,13.5
Cooked green lima beans,.5 cup,103.7
Cooked green peas,.5 cup,66.4
Cooked hot peppers,1 pepper,18.06
Cooked hot peppers,1 Tablespoon,3.57
Cooked mixed vegetables,.5 cup,59.15
Cooked mushrooms,.5 cup,21.84
Cooked mushrooms,1 large cap,4.48
Cooked mushrooms,10 slices,11.2
Cooked onions,.5 cup,46.2
Cooked onions,1 slice,5.28
Cooked snowpeas,.5 cup,33.6
Cooked spinach,.5 cup,30.4
Cooked sweet peppers,.5 cup,19.04
Cooked tomatoes,.5 cup,21.6
Cooked turnip,.5 cup mashed,25.3
Cool Whip,.25 cup,59.625
Cordial or liqueur,1 cordial glass,70.8
Cordial or liqueur,1 fluid ounce,106.2
Corn chips (Fritos),1 cup,237.16
Corn chips (Fritos),1 single srvg bag (bag = 1 oz),150.92
Corn chips (Fritos),1 grab-size bag (bag = 2.3 oz),344.96
"Corn dog (hot dog, cornbread coating)",1 corn dog,279.84
Corn flakes cereal,1 cup,90.25
Corn flakes cereal,1 single serving box,75.81
Corn fritter,1 fritter,131.95
Corn fritter,.5 cup,201.695
